Symbol,Name,Exchange,Sector,Market Cap
GPK,Graphic Packaging Holding Company,NYSE,Industrial Products,7057572000
PD,Pagerduty Inc,NYSE,Computers and Technology,1982874000
QS,Quantumscape Corp,NYSE,Auto-Tires-Trucks,3265318000
GDYN,Grid Dynamics Holdings Inc,NASDAQ,Computers and Technology,942747000
PLCE,Children's Place Inc,NASDAQ,Retail-Wholesale,462494000
ES,Eversource Energy,NYSE,Utilities,28860720000
EVTC,Evertec Inc,NYSE,Business Services,2201872000
RL,Ralph Lauren Corp,NYSE,Consumer Staples,7462753000
CZNC,Citizens Nrthn Cp,NASDAQ,Finance,380370000
CLDT,Chatham Lodging Trust REIT,NYSE,Finance,652563000
HGTY,Hagerty Inc,NYSE,Retail-Wholesale,3048241000
SQSP,Squarespace Inc Cl A,NYSE,Computers and Technology,2803647000
QDEL,Quidelortho Corp,NASDAQ,Medical,5786202000
WTFC,Wintrust Financial Corp,NASDAQ,Finance,5555743000
SHEN,Shenandoah Telecom,NASDAQ,Utilities,975408000
TEL,Te Connectivity Ltd,NYSE,Computers and Technology,40009172000
MELI,Mercadolibre Inc,NASDAQ,Retail-Wholesale,46823880000
VOYA,VOYA Financial Inc,NYSE,Finance,6411475000
CPSI,Computer Programs,NASDAQ,Medical,429614000
KBR,KBR Inc,NYSE,Industrial Products,7088916000
UFCS,United Fire Group,NASDAQ,Finance,769768000
JRVR,James River Gp HD,NASDAQ,Finance,899789000
ASML,Asml Holdings NY Reg ADR,NASDAQ,Computers and Technology,2.49194E+11
DGICA,Donegal Group Cl A,NASDAQ,Finance,482799000
UNP,Union Pacific Corp,NYSE,Transportation,1.33676E+11
TCX,Tucows Inc Cl A,NASDAQ,Computers and Technology,331345000
GOTU,Gaotu Techedu Inc ADR,NYSE,Business Services,331571000
YELP,Yelp Inc,NYSE,Computers and Technology,2157277000
UMH,Umh Properties,NYSE,Finance,981493000
NRP,Natural Resource Partners LP,NYSE,Oils-Energy,520471000
TTE,Totalenergies Se ADR,NYSE,Oils-Energy,1.62703E+11
BNTX,Biontech Se ADR,NASDAQ,Medical,40533248000
OOMA,Ooma Inc,NYSE,Computers and Technology,382725000
PRMW,Primo Water Corp,NYSE,Utilities,2500682000
VNOM,Viper Energy LP,NASDAQ,Oils-Energy,5446482000
CCJ,Cameco Corp,NYSE,Basic Materials,10544350000
WEBR,Weber Inc Cl A,NYSE,Consumer Discretionary,1955544000
TARO,Taro Pharm Inds,NYSE,Medical,1133188000
IMAX,Imax Corp,NYSE,Consumer Discretionary,945384000
ARI,Apollo Commercial Real Estate,NYSE,Finance,1737766000
DX,Dynex Capital,NYSE,Finance,607185000
GLNG,Golar Lng Ltd,NASDAQ,Transportation,2713150000
PCSB,Pcsb Financial Corp,NASDAQ,Finance,306373000
WKHS,Workhorse Grp,NASDAQ,Auto-Tires-Trucks,377432000
OPRX,Optimizerx Corp,NASDAQ,Computers and Technology,361757000
DOX,Amdocs Ltd Ord,NASDAQ,Computers and Technology,11650435000
AZN,Astrazeneca Plc ADR,NASDAQ,Medical,2.10628E+11
